//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
682,683,684,672,673,684,684,684,684,684,684,684,684,684,685,686,687
714,715,716,704,705,716,716,716,716,716,716,716,762,763,717,718,719
746,747,748,736,737,748,748,748,748,748,748,748,794,795,749,750,751
778,779,780,768,769,780,780,780,780,780,780,780,826,827,781,782,783
16,16,17,800,801,17,17,17,17,17,17,17,17,17,17,834,835
16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
908,909,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
940,941,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
832,833,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
832,833,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
832,833,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
832,833,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
832,833,17,17,17,17,17,17,17,17,51,52,17,17,17,834,835
908,909,17,51,52,53,17,17,17,17,17,17,17,84,17,834,835
940,941,17,83,84,85,17,17,17,17,17,17,17,17,17,834,835
864,865,17,17,17,17,17,51,52,17,17,17,17,17,17,834,835
18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
16,18,17,17,17,84,17,17,17,17,84,17,17,17,17,834,835
18,18,17,17,17,17,17,17,17,17,17,17,51,52,17,866,867
1004,1005,996,996,996,996,996,996,996,996,996,996,996,996,997,1006,1007
