//1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
714,715,716,717,544,545,546,552,545,546,550,551,718,719
746,747,748,749,576,577,578,584,577,578,582,583,750,751
778,779,780,781,608,609,610,616,609,610,614,615,782,783
810,811,49,49,49,49,49,49,49,49,49,49,814,815
832,833,49,49,49,49,49,49,49,49,49,49,838,839
900,901,49,49,49,49,49,49,49,49,49,49,814,815
832,833,49,49,49,49,49,49,49,49,49,49,838,839
864,865,49,49,49,49,49,49,49,49,49,49,870,871
896,897,49,49,49,49,49,49,49,49,49,49,902,903
928,929,49,49,49,49,49,49,49,49,49,49,870,871
972,973,49,49,49,49,49,49,49,49,49,49,974,975
1004,1005,996,997,996,806,49,807,997,996,996,997,1006,1007
