//1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,392,393,394,-1,-1
-1,-1,-1,-1,427,427,-1,429,429,424,425,426,-1,-1
-1,-1,-1,-1,459,459,101,461,461,456,457,458,-1,-1
674,675,-1,404,-1,-1,-1,-1,-1,-1,-1,-1,676,677
706,707,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,708,709
738,739,-1,-1,-1,-1,-1,438,-1,-1,-1,-1,740,741
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
900,901,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,207,-1,-1,-1
-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
