//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
714,715,716,552,544,545,546,547,704,705,550,551,544,545,546,552,548,549,550,550,551,704,705,547,547,544,549,552,551,718,719
746,747,748,584,576,577,578,579,736,737,582,583,576,577,578,584,580,581,582,582,583,736,737,579,579,576,581,584,583,750,751
778,779,780,616,608,609,610,611,768,769,614,615,608,609,610,616,612,613,614,614,615,768,769,611,611,608,613,616,615,782,783
810,811,49,49,49,49,49,49,800,801,49,49,49,49,49,49,49,49,49,49,49,800,801,49,49,49,49,49,49,814,815
832,833,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,838,839
864,865,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,870,871
896,897,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,866,867
900,901,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,902,903
960,961,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,866,867
992,993,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,870,871
992,993,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,838,839
832,833,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,870,871
900,901,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,902,903
896,897,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,866,867
928,929,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,866,867
972,973,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,866,867
1004,1005,996,997,806,49,807,997,996,997,996,997,996,997,996,997,996,997,996,997,996,997,996,997,806,49,807,996,997,1006,1007
