//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,232,233,234,235,236,237,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,264,265,266,267,268,269,270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,296,297,298,299,300,301,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
674,675,344,345,282,-1,-1,-1,-1,-1,-1,-1,328,329,330,331,332,333,334,-1,-1,-1,-1,-1,-1,-1,282,344,345,676,677
706,707,376,377,-1,-1,-1,-1,-1,-1,-1,-1,360,361,362,363,364,365,366,-1,-1,-1,-1,-1,-1,-1,-1,376,377,708,709
738,739,408,409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,408,409,740,741
-1,-1,440,441,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,283,440,441,-1,-1
-1,-1,472,473,-1,-1,106,107,-1,106,107,-1,106,107,-1,-1,-1,106,107,-1,106,107,-1,106,107,-1,-1,472,473,-1,-1
-1,-1,504,505,-1,-1,138,139,-1,138,139,-1,138,139,-1,-1,-1,138,139,-1,138,139,-1,138,139,-1,-1,504,505,-1,-1
674,675,-1,-1,-1,-1,74,-1,-1,-1,75,-1,-1,75,-1,-1,-1,75,-1,-1,74,-1,-1,-1,74,-1,-1,-1,676,676,677
706,707,344,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,344,345,708,709
738,739,376,377,282,-1,106,107,-1,106,107,-1,106,107,-1,-1,-1,106,107,-1,106,107,-1,106,107,-1,283,376,377,740,741
-1,-1,408,409,-1,-1,138,139,-1,138,139,-1,138,139,-1,-1,-1,138,139,-1,138,139,-1,138,139,-1,-1,408,409,-1,-1
-1,-1,440,441,-1,-1,-1,75,-1,-1,74,-1,-1,75,-1,-1,-1,75,-1,-1,75,-1,-1,74,-1,-1,-1,440,441,-1,-1
-1,-1,472,473,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,283,472,473,-1,-1
-1,-1,504,505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,504,505,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
