//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
682,683,684,683,684,685,686,686,686,686,672,673,686,686,686,686,687
714,715,544,545,546,544,544,544,544,544,704,705,544,544,544,718,719
746,747,576,577,578,576,576,576,576,576,736,737,576,576,576,750,751
778,779,608,609,610,608,608,608,608,608,768,769,608,608,608,782,783
810,811,812,17,17,17,17,17,17,17,800,801,17,17,813,814,815
832,833,17,17,17,17,17,17,17,17,17,17,17,17,17,898,899
832,833,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
864,865,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835
896,897,17,17,17,17,17,17,17,17,17,17,17,17,17,898,899
928,929,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
960,961,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
992,993,17,17,17,17,17,17,17,17,17,17,17,17,17,17,907
1004,1005,996,996,996,996,996,996,996,996,996,996,996,996,997,1006,1007
