//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,682,683,684,684,684,684,684,684,684,684,684,684,684,684,684,686,687,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389,684,684,684,714,715,716,716,716,716,716,716,716,716,716,716,716,716,716,718,719,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,746,747,748,748,748,748,748,748,748,748,748,748,748,748,748,750,751,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,778,779,780,780,780,780,780,780,780,780,780,780,780,780,780,782,783,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,778,17,812,17,17,17,17,17,17,17,17,17,17,17,813,814,815,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,834,835,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,864,865,17,17,16,17,18,19,20,21,21,20,21,17,17,898,899,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,908,909,17,401,465,466,401,466,467,465,466,464,401,466,467,844,845,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,940,941,21,433,497,498,433,498,499,497,498,496,433,498,499,876,877,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,960,961,17,16,17,18,19,20,21,21,20,21,21,17,17,962,963,-1
682,683,684,684,684,684,684,684,684,684,684,684,684,684,684,686,325,17,17,17,928,929,17,16,16,17,18,19,20,21,21,21,21,17,17,834,835,-1
714,715,716,-1,-1,716,716,716,716,716,716,716,716,716,716,718,719,17,17,17,928,929,16,17,18,19,20,21,21,21,21,21,18,17,21,834,835,-1
746,747,748,-1,-1,748,748,748,748,748,748,748,748,748,748,750,751,17,17,17,864,865,16,16,16,16,17,18,19,20,21,21,21,17,17,866,867,-1
778,779,780,926,926,780,780,780,780,780,780,780,780,780,780,782,783,17,17,17,908,909,17,16,17,18,19,20,21,20,21,21,19,20,17,844,845,-1
810,811,21,16,16,17,18,19,20,21,21,17,18,19,20,814,815,17,17,17,940,941,16,17,18,19,20,21,18,16,17,18,19,20,17,876,877,-1
832,833,48,49,16,16,16,17,18,19,20,21,19,20,21,834,835,17,17,17,960,961,16,17,18,19,20,21,16,16,17,18,19,20,17,962,963,-1
864,865,21,49,49,49,17,18,19,20,21,21,19,20,21,866,867,17,17,17,928,929,17,16,17,18,19,20,16,17,18,19,20,21,17,994,995,-1
896,897,48,21,21,21,21,49,18,19,20,21,21,48,49,898,899,17,17,17,928,929,16,17,16,17,18,19,16,16,17,18,19,20,17,930,931,-1
928,929,48,21,17,18,21,49,18,19,20,21,48,49,21,930,931,17,17,17,972,973,16,17,18,19,20,21,20,21,16,17,18,19,21,974,975,-1
960,961,48,21,21,21,21,49,49,49,49,49,49,49,21,962,963,17,17,17,1004,1005,996,997,996,997,996,997,996,997,996,997,996,996,997,1006,1007,-1
992,993,21,48,49,21,20,16,17,18,19,20,21,21,21,962,963,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,682,683,684,684,684,684,684,685,686,687
992,993,21,21,21,21,16,16,16,17,18,19,20,21,21,21,963,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,714,715,716,716,716,716,716,717,718,719
992,993,17,18,19,20,16,17,18,19,20,21,20,21,21,21,21,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,746,747,748,748,748,748,748,749,750,751
992,993,17,18,19,20,16,17,18,19,20,21,21,21,21,974,975,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,778,779,780,780,780,780,780,781,782,783
1004,1005,996,997,997,996,996,997,996,997,996,997,996,996,997,1006,1007,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,810,811,812,17,17,17,17,813,814,815
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,992,993,17,17,17,17,17,17,834,835
682,683,684,684,684,684,684,684,684,684,672,673,684,684,685,686,325,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,992,993,17,17,17,17,17,17,866,867
714,715,716,716,716,716,716,716,716,716,704,705,716,716,717,718,719,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,972,973,17,17,17,17,17,17,974,975
746,747,748,748,748,748,748,748,748,748,736,737,748,748,749,750,751,17,17,17,358,-1,-1,-1,-1,-1,-1,-1,1004,1005,996,806,17,17,807,996,1006,1007
778,779,780,780,780,780,780,780,780,780,768,769,780,780,781,782,783,17,17,17,358,683,684,672,673,684,684,684,684,684,684,16,17,17,16,686,687,-1
810,811,16,17,16,17,18,19,20,48,800,801,49,50,813,814,815,17,17,17,714,715,716,704,705,716,716,716,716,716,716,716,716,716,717,718,719,-1
928,929,21,48,21,48,49,50,21,16,17,18,19,20,21,962,963,17,17,17,746,747,748,736,737,748,748,748,748,748,748,748,748,748,749,750,751,-1
960,961,48,49,48,49,50,17,18,19,20,21,48,49,50,21,963,17,17,17,778,779,780,768,769,780,780,780,780,780,780,780,780,780,781,782,783,-1
992,993,16,17,16,17,18,19,20,21,21,20,48,49,50,21,21,17,17,17,778,17,50,800,801,50,50,50,50,50,50,50,50,50,813,814,815,-1
972,973,16,17,16,17,18,19,20,16,17,18,19,20,21,974,975,17,17,17,17,17,50,21,17,17,17,17,17,17,17,17,17,17,50,962,963,-1
1004,1005,996,997,998,999,996,997,996,997,996,997,996,996,997,1006,1007,17,17,17,864,865,50,17,17,21,17,17,50,50,17,17,50,17,50,994,995,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,293,17,17,17,908,909,50,17,50,17,17,20,50,21,21,17,50,17,50,834,835,-1
682,683,684,684,684,684,684,684,684,684,684,684,684,684,685,686,325,17,17,17,940,941,50,17,17,17,20,17,17,17,49,17,21,17,50,866,867,-1
714,715,544,545,546,716,716,547,548,716,550,551,716,716,717,718,719,17,17,17,972,973,50,17,17,20,17,17,17,17,50,17,21,17,50,898,899,-1
