//1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,792,793,-1,-1,-1,-1,-1,-1
-1,-1,-1,429,-1,-1,824,825,-1,-1,-1,-1,-1,-1
-1,-1,-1,461,-1,-1,149,-1,-1,-1,146,147,-1,-1
-1,-1,-1,148,-1,-1,-1,-1,86,87,-1,-1,676,677
-1,-1,-1,-1,-1,-1,-1,-1,118,119,-1,-1,708,709
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,149,740,741
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,404,-1,902,903
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,344,345,-1,-1
-1,-1,-1,-1,86,87,-1,-1,-1,407,376,377,-1,-1
-1,-1,-1,-1,118,119,-1,-1,-1,-1,408,409,-1,-1
1002,1003,-1,-1,-1,-1,-1,-1,-1,-1,440,441,-1,-1
-1,-1,-1,-1,148,148,-1,-1,-1,-1,472,473,676,677
-1,-1,-1,-1,-1,-1,144,145,-1,438,504,505,708,709
-1,-1,-1,86,87,-1,-1,-1,-1,-1,-1,439,740,741
-1,-1,-1,118,119,-1,-1,-1,-1,-1,-1,-1,902,903
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,148,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,144,145,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
