//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,421,422,423,422,-1,160,-1,161,-1,162,-1,-1,-1
-1,-1,453,454,455,454,-1,32,-1,32,-1,32,-1,-1,-1
-1,-1,485,486,487,486,-1,64,-1,64,-1,64,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,842,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,116,117,-1,-1,874,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,148,149,-1,-1,906,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
