//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-1,-1,-1,-1,-1,25,-1,-1,-1,24,-1,-1,-1,-1,25,-1,-1,-1,-1
-1,-1,-1,-1,-1,57,-1,-1,-1,56,-1,-1,-1,-1,57,-1,-1,-1,-1
-1,-1,421,422,423,89,-1,-1,-1,88,-1,162,161,-1,89,-1,-1,-1,-1
-1,-1,453,454,455,121,33,35,-1,120,-1,8,32,-1,121,429,171,-1,-1
-1,-1,485,486,487,-1,65,67,-1,-1,-1,40,64,-1,-1,461,203,-1,-1
152,153,-1,-1,488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,185,-1,-1,-1,-1,-1,400,403,402,403,-1,-1,-1,144,145,-1,-1,-1
216,217,-1,116,-1,-1,-1,432,435,434,435,400,403,402,403,-1,-1,906,907
248,249,-1,-1,-1,488,-1,-1,146,-1,-1,432,435,434,435,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
