//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,762,763,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,794,795,-1,-1,-1,-1,-1,-1,162,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,826,827,-1,-1,-1,429,-1,-1,8,-1,398,-1,399,-1,-1,-1,-1
-1,-1,-1,117,-1,-1,-1,461,-1,-1,40,-1,430,488,431,-1,117,-1,-1
-1,-1,-1,-1,-1,402,403,-1,-1,-1,-1,488,462,-1,463,-1,-1,-1,-1
-1,971,488,-1,-1,274,275,402,150,151,-1,-1,-1,-1,200,201,-1,874,-1
1002,1003,-1,-1,148,276,277,434,467,-1,-1,202,-1,-1,-1,-1,-1,906,907
-1,-1,-1,-1,148,308,309,498,499,-1,-1,-1,202,-1,-1,-1,148,-1,-1
-1,-1,-1,-1,-1,-1,-1,488,-1,148,-1,-1,-1,-1,-1,488,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
